,precision,recall,f1-score,support
BOJ,0.8695652173913043,0.7407407407407407,0.7999999999999999,27.0
BOP,0.868421052631579,1.0,0.9295774647887324,33.0
CHR,0.75,0.5689655172413793,0.6470588235294117,58.0
EPB,0.75,0.46153846153846156,0.5714285714285714,13.0
EPN,0.625,0.6666666666666666,0.6451612903225806,15.0
EPO,0.7083333333333334,0.6538461538461539,0.68,26.0
EPR,0.5,0.21052631578947367,0.2962962962962963,19.0
ERR,0.5,0.4642857142857143,0.4814814814814815,28.0
ERS,0.5121951219512195,0.7777777777777778,0.6176470588235294,27.0
FRA,0.5588235294117647,1.0,0.7169811320754718,19.0
HEG,0.9375,0.8823529411764706,0.9090909090909091,17.0
MEL,0.7,0.9459459459459459,0.8045977011494254,37.0
ORA,0.7142857142857143,0.5263157894736842,0.6060606060606061,19.0
OSV,0.8333333333333334,0.5,0.625,10.0
PET,0.8421052631578947,0.8,0.8205128205128205,20.0
PIB,0.5,0.5,0.5,22.0
PIR,0.75,0.75,0.75,8.0
PRU,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0
SAB,0.5625,0.6,0.5806451612903225,15.0
THO,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
accuracy,0.7008928571428571,0.7008928571428571,0.7008928571428571,0.7008928571428571
macro avg,0.7128286184708856,0.691173591420202,0.6878024560385864,448.0
weighted avg,0.7101486714118309,0.7008928571428571,0.6922130085641998,448.0
